# Region      : all fluidRegion
# Cells       : 350
# Volume      : 2.936815e-03
# Time        	volIntegrate(hdeltaT)
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	0.000000e+00
5             	0.000000e+00
6             	0.000000e+00
7             	0.000000e+00
8             	0.000000e+00
9             	0.000000e+00
10            	0.000000e+00
