# Region type : patch outletFuelElement
# Faces       : 12
# Area        : 1.905868e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
82            	1.167987e+01	3.447280e+06	8.329934e+01	6.101644e-03	5.623233e-04
83            	1.167919e+01	3.447280e+06	8.329538e+01	6.101641e-03	5.622896e-04
84            	1.167859e+01	3.447280e+06	8.329189e+01	6.101639e-03	5.622599e-04
85            	1.167806e+01	3.447280e+06	8.328881e+01	6.101638e-03	5.622338e-04
86            	1.167759e+01	3.447280e+06	8.328610e+01	6.101636e-03	5.622107e-04
87            	1.167717e+01	3.447280e+06	8.328370e+01	6.101634e-03	5.621903e-04
88            	1.167681e+01	3.447280e+06	8.328160e+01	6.101633e-03	5.621724e-04
89            	1.167649e+01	3.447280e+06	8.327974e+01	6.101632e-03	5.621566e-04
90            	1.167620e+01	3.447280e+06	8.327810e+01	6.101631e-03	5.621426e-04
91            	1.167596e+01	3.447280e+06	8.327665e+01	6.101630e-03	5.621304e-04
92            	1.167574e+01	3.447280e+06	8.327538e+01	6.101630e-03	5.621196e-04
93            	1.167554e+01	3.447280e+06	8.327426e+01	6.101629e-03	5.621100e-04
94            	1.167537e+01	3.447280e+06	8.327327e+01	6.101629e-03	5.621016e-04
95            	1.167522e+01	3.447280e+06	8.327240e+01	6.101628e-03	5.620942e-04
96            	1.167509e+01	3.447280e+06	8.327163e+01	6.101628e-03	5.620877e-04
97            	1.167497e+01	3.447280e+06	8.327095e+01	6.101627e-03	5.620819e-04
98            	1.167487e+01	3.447280e+06	8.327036e+01	6.101627e-03	5.620769e-04
99            	1.167478e+01	3.447280e+06	8.326983e+01	6.101627e-03	5.620724e-04
100           	1.167470e+01	3.447280e+06	8.326937e+01	6.101626e-03	5.620685e-04
