# Region type : patch inletFuelElement
# Faces       : 12
# Area        : 1.905868e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
79            	1.500000e+01	3.471397e+06	8.330000e+01	-7.892237e-03	-7.220594e-04
80            	1.500000e+01	3.471397e+06	8.330000e+01	-7.892235e-03	-7.220594e-04
81            	1.500000e+01	3.471396e+06	8.330000e+01	-7.892233e-03	-7.220594e-04
82            	1.500000e+01	3.471395e+06	8.330000e+01	-7.892231e-03	-7.220594e-04
83            	1.500000e+01	3.471394e+06	8.330000e+01	-7.892230e-03	-7.220594e-04
84            	1.500000e+01	3.471394e+06	8.330000e+01	-7.892229e-03	-7.220594e-04
85            	1.500000e+01	3.471393e+06	8.330000e+01	-7.892227e-03	-7.220594e-04
86            	1.500000e+01	3.471393e+06	8.330000e+01	-7.892226e-03	-7.220594e-04
87            	1.500000e+01	3.471392e+06	8.330000e+01	-7.892225e-03	-7.220594e-04
88            	1.500000e+01	3.471392e+06	8.330000e+01	-7.892225e-03	-7.220594e-04
89            	1.500000e+01	3.471392e+06	8.330000e+01	-7.892224e-03	-7.220594e-04
90            	1.500000e+01	3.471392e+06	8.330000e+01	-7.892223e-03	-7.220594e-04
91            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892223e-03	-7.220594e-04
92            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892222e-03	-7.220594e-04
93            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892222e-03	-7.220594e-04
94            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892222e-03	-7.220594e-04
95            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892221e-03	-7.220594e-04
96            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892221e-03	-7.220594e-04
97            	1.500000e+01	3.471391e+06	8.330000e+01	-7.892221e-03	-7.220594e-04
98            	1.500000e+01	3.471390e+06	8.330000e+01	-7.892221e-03	-7.220594e-04
99            	1.500000e+01	3.471390e+06	8.330000e+01	-7.892220e-03	-7.220594e-04
100           	1.500000e+01	3.471390e+06	8.330000e+01	-7.892220e-03	-7.220594e-04
