# Region type : patch outletCentralUnloaded
# Faces       : 2
# Area        : 3.176444e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
41            	1.418602e+01	3.447280e+06	8.329052e+01	5.543782e-03	5.108433e-04
42            	1.418603e+01	3.447280e+06	8.329054e+01	5.543782e-03	5.108435e-04
43            	1.418603e+01	3.447280e+06	8.329056e+01	5.543782e-03	5.108437e-04
44            	1.418598e+01	3.447280e+06	8.329058e+01	5.543798e-03	5.108453e-04
45            	1.418601e+01	3.447280e+06	8.329060e+01	5.543743e-03	5.108403e-04
46            	1.418600e+01	3.447280e+06	8.329062e+01	5.543782e-03	5.108441e-04
47            	1.418609e+01	3.447280e+06	8.329064e+01	5.543787e-03	5.108447e-04
48            	1.418615e+01	3.447280e+06	8.329065e+01	5.543753e-03	5.108417e-04
49            	1.418604e+01	3.447280e+06	8.329067e+01	5.543816e-03	5.108476e-04
50            	1.418590e+01	3.447280e+06	8.329068e+01	5.543844e-03	5.108503e-04
51            	1.418613e+01	3.447280e+06	8.329070e+01	5.543738e-03	5.108406e-04
52            	1.418618e+01	3.447280e+06	8.329071e+01	5.543745e-03	5.108414e-04
53            	1.418590e+01	3.447280e+06	8.329072e+01	5.543828e-03	5.108491e-04
54            	1.418596e+01	3.447280e+06	8.329073e+01	5.543840e-03	5.108503e-04
55            	1.418628e+01	3.447280e+06	8.329074e+01	5.543692e-03	5.108367e-04
56            	1.418588e+01	3.447280e+06	8.329075e+01	5.543858e-03	5.108521e-04
57            	1.418629e+01	3.447280e+06	8.329076e+01	5.543826e-03	5.108492e-04
58            	1.418618e+01	3.447280e+06	8.329077e+01	5.543805e-03	5.108473e-04
59            	1.418596e+01	3.447280e+06	8.329077e+01	5.543820e-03	5.108488e-04
60            	1.418588e+01	3.447280e+06	8.329078e+01	5.543783e-03	5.108454e-04
61            	1.418618e+01	3.447280e+06	8.329079e+01	5.543688e-03	5.108367e-04
62            	1.418622e+01	3.447280e+06	8.329079e+01	5.543750e-03	5.108424e-04
63            	1.418613e+01	3.447280e+06	8.329080e+01	5.543778e-03	5.108451e-04
64            	1.418599e+01	3.447280e+06	8.329080e+01	5.543875e-03	5.108541e-04
65            	1.418603e+01	3.447280e+06	8.329081e+01	5.543791e-03	5.108464e-04
66            	1.418592e+01	3.447280e+06	8.329081e+01	5.543872e-03	5.108538e-04
67            	1.418614e+01	3.447280e+06	8.329082e+01	5.543729e-03	5.108407e-04
68            	1.418618e+01	3.447280e+06	8.329082e+01	5.543710e-03	5.108390e-04
69            	1.418580e+01	3.447280e+06	8.329083e+01	5.543782e-03	5.108457e-04
70            	1.418610e+01	3.447280e+06	8.329083e+01	5.543797e-03	5.108471e-04
71            	1.418613e+01	3.447280e+06	8.329083e+01	5.543783e-03	5.108458e-04
72            	1.418620e+01	3.447280e+06	8.329084e+01	5.543803e-03	5.108477e-04
73            	1.418615e+01	3.447280e+06	8.329084e+01	5.543774e-03	5.108450e-04
74            	1.418580e+01	3.447280e+06	8.329084e+01	5.543739e-03	5.108418e-04
75            	1.418608e+01	3.447280e+06	8.329084e+01	5.543803e-03	5.108478e-04
76            	1.418594e+01	3.447280e+06	8.329085e+01	5.543840e-03	5.108512e-04
77            	1.418637e+01	3.447280e+06	8.329085e+01	5.543830e-03	5.108503e-04
78            	1.418609e+01	3.447280e+06	8.329085e+01	5.543767e-03	5.108445e-04
79            	1.418627e+01	3.447280e+06	8.329085e+01	5.543694e-03	5.108378e-04
80            	1.418587e+01	3.447280e+06	8.329085e+01	5.543740e-03	5.108420e-04
81            	1.418613e+01	3.447280e+06	8.329086e+01	5.543710e-03	5.108393e-04
82            	1.418606e+01	3.447280e+06	8.329086e+01	5.543742e-03	5.108422e-04
83            	1.418638e+01	3.447280e+06	8.329086e+01	5.543781e-03	5.108458e-04
84            	1.418599e+01	3.447280e+06	8.329086e+01	5.543871e-03	5.108542e-04
85            	1.418596e+01	3.447280e+06	8.329086e+01	5.543910e-03	5.108577e-04
86            	1.418609e+01	3.447280e+06	8.329086e+01	5.543823e-03	5.108497e-04
87            	1.418597e+01	3.447280e+06	8.329086e+01	5.543787e-03	5.108464e-04
88            	1.418589e+01	3.447280e+06	8.329086e+01	5.543868e-03	5.108539e-04
89            	1.418621e+01	3.447280e+06	8.329087e+01	5.543696e-03	5.108380e-04
90            	1.418634e+01	3.447280e+06	8.329087e+01	5.543828e-03	5.108502e-04
91            	1.418609e+01	3.447280e+06	8.329087e+01	5.543808e-03	5.108484e-04
92            	1.418611e+01	3.447280e+06	8.329087e+01	5.543828e-03	5.108502e-04
93            	1.418620e+01	3.447280e+06	8.329087e+01	5.543756e-03	5.108436e-04
94            	1.418624e+01	3.447280e+06	8.329087e+01	5.543737e-03	5.108418e-04
95            	1.418642e+01	3.447280e+06	8.329087e+01	5.543832e-03	5.108506e-04
96            	1.418602e+01	3.447280e+06	8.329087e+01	5.543766e-03	5.108445e-04
97            	1.418627e+01	3.447280e+06	8.329087e+01	5.543791e-03	5.108468e-04
98            	1.418592e+01	3.447280e+06	8.329087e+01	5.543855e-03	5.108528e-04
99            	1.418615e+01	3.447280e+06	8.329087e+01	5.543720e-03	5.108403e-04
100           	1.418599e+01	3.447280e+06	8.329087e+01	5.543787e-03	5.108465e-04
