# Region type : patch outletCentralUnloaded
# Faces       : 2
# Area        : 3.176444e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
11            	1.469577e+01	3.447280e+06	8.328786e+01	5.743769e-03	5.292505e-04
12            	1.463603e+01	3.447280e+06	8.328807e+01	5.720471e-03	5.271054e-04
13            	1.459533e+01	3.447280e+06	8.328824e+01	5.704941e-03	5.256758e-04
14            	1.456073e+01	3.447280e+06	8.328839e+01	5.691840e-03	5.244698e-04
15            	1.452856e+01	3.447280e+06	8.328854e+01	5.679300e-03	5.233154e-04
16            	1.449900e+01	3.447280e+06	8.328868e+01	5.668041e-03	5.222791e-04
17            	1.447023e+01	3.447280e+06	8.328882e+01	5.656371e-03	5.212048e-04
18            	1.444305e+01	3.447280e+06	8.328895e+01	5.646056e-03	5.202553e-04
19            	1.441666e+01	3.447280e+06	8.328906e+01	5.636270e-03	5.193546e-04
20            	1.439183e+01	3.447280e+06	8.328919e+01	5.625461e-03	5.183595e-04
21            	1.436830e+01	3.447280e+06	8.328930e+01	5.616246e-03	5.175113e-04
22            	1.434557e+01	3.447280e+06	8.328940e+01	5.608149e-03	5.167660e-04
23            	1.432517e+01	3.447280e+06	8.328950e+01	5.600085e-03	5.160237e-04
24            	1.430550e+01	3.447280e+06	8.328960e+01	5.592725e-03	5.153462e-04
25            	1.428689e+01	3.447280e+06	8.328969e+01	5.585261e-03	5.146591e-04
26            	1.426960e+01	3.447280e+06	8.328978e+01	5.577907e-03	5.139822e-04
27            	1.425480e+01	3.447280e+06	8.328985e+01	5.572772e-03	5.135096e-04
28            	1.423947e+01	3.447280e+06	8.328993e+01	5.567074e-03	5.129851e-04
29            	1.422614e+01	3.447280e+06	8.329001e+01	5.561164e-03	5.124411e-04
30            	1.421483e+01	3.447280e+06	8.329007e+01	5.556662e-03	5.120268e-04
31            	1.420315e+01	3.447280e+06	8.329014e+01	5.552332e-03	5.116283e-04
32            	1.419391e+01	3.447280e+06	8.329020e+01	5.548347e-03	5.112615e-04
33            	1.418583e+01	3.447280e+06	8.329025e+01	5.544847e-03	5.109395e-04
34            	1.418598e+01	3.447280e+06	8.329030e+01	5.543782e-03	5.108417e-04
35            	1.418599e+01	3.447280e+06	8.329034e+01	5.543782e-03	5.108420e-04
36            	1.418599e+01	3.447280e+06	8.329037e+01	5.543782e-03	5.108422e-04
37            	1.418600e+01	3.447280e+06	8.329041e+01	5.543782e-03	5.108425e-04
38            	1.418601e+01	3.447280e+06	8.329044e+01	5.543782e-03	5.108427e-04
39            	1.418601e+01	3.447280e+06	8.329047e+01	5.543782e-03	5.108429e-04
40            	1.418602e+01	3.447280e+06	8.329049e+01	5.543782e-03	5.108431e-04
