time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K)

1;0.882175;8e+08;1.4967e+19;0;0;0;0;0;0;668;668;667.99;
2;0.911255;8e+08;1.4514e+19;0;0;0;0;0;0;673.34;669.4;667.99;
3;0.924257;8e+08;1.4343e+19;0;0;0;0;0;0;682.97;671.77;667.99;
4;0.93052;8e+08;1.4277e+19;0;0;0;0;0;0;695.12;674.65;667.99;
5;0.933704;8e+08;1.4255e+19;0;0;0;0;0;0;708.34;677.78;667.99;
6;0.935409;8e+08;1.4252e+19;0;0;0;0;0;0;722.22;680.97;667.99;
7;0.936354;8e+08;1.4257e+19;0;0;0;0;0;0;735.59;684.08;667.99;
8;0.936889;8e+08;1.4264e+19;0;0;0;0;0;0;747.91;687;667.98;
9;0.937191;8e+08;1.4273e+19;0;0;0;0;0;0;759.88;689.69;667.98;
10;0.937356;8e+08;1.4281e+19;0;0;0;0;0;0;771.58;692.11;667.98;
11;0.937439;8e+08;1.4288e+19;0;0;0;0;0;0;783.23;694.27;667.98;
12;0.93747;8e+08;1.4295e+19;0;0;0;0;0;0;793.83;696.18;667.98;
13;0.93747;8e+08;1.4301e+19;0;0;0;0;0;0;803.4;697.86;667.98;
14;0.937451;8e+08;1.4306e+19;0;0;0;0;0;0;812.86;699.32;667.98;
15;0.937419;8e+08;1.431e+19;0;0;0;0;0;0;821.49;700.61;667.98;
16;0.937381;8e+08;1.4314e+19;0;0;0;0;0;0;829.29;701.73;667.98;
17;0.937341;8e+08;1.4318e+19;0;0;0;0;0;0;836.26;702.7;667.98;
18;0.937299;8e+08;1.4321e+19;0;0;0;0;0;0;842.48;703.56;667.98;
19;0.937258;8e+08;1.4323e+19;0;0;0;0;0;0;848.01;704.31;667.98;
20;0.937219;8e+08;1.4325e+19;0;0;0;0;0;0;852.91;704.96;667.98;
21;0.937182;8e+08;1.4327e+19;0;0;0;0;0;0;857.24;705.53;667.98;
22;0.937148;8e+08;1.4329e+19;0;0;0;0;0;0;861.07;706.03;667.98;
23;0.937117;8e+08;1.4331e+19;0;0;0;0;0;0;864.45;706.47;667.98;
24;0.937089;8e+08;1.4332e+19;0;0;0;0;0;0;867.43;706.85;667.98;
25;0.937063;8e+08;1.4333e+19;0;0;0;0;0;0;870.05;707.19;667.98;
26;0.93704;8e+08;1.4334e+19;0;0;0;0;0;0;872.35;707.48;667.98;
27;0.93702;8e+08;1.4335e+19;0;0;0;0;0;0;874.37;707.74;667.98;
28;0.937002;8e+08;1.4336e+19;0;0;0;0;0;0;876.15;707.96;667.98;
29;0.936986;8e+08;1.4337e+19;0;0;0;0;0;0;877.7;708.16;667.98;
30;0.936972;8e+08;1.4337e+19;0;0;0;0;0;0;879.07;708.33;667.98;
31;0.936959;8e+08;1.4338e+19;0;0;0;0;0;0;880.27;708.49;667.98;
32;0.936948;8e+08;1.4338e+19;0;0;0;0;0;0;881.32;708.62;667.98;
33;0.936939;8e+08;1.4339e+19;0;0;0;0;0;0;882.24;708.74;667.98;
34;0.93693;8e+08;1.4339e+19;0;0;0;0;0;0;883.04;708.84;667.98;
35;0.936923;8e+08;1.4339e+19;0;0;0;0;0;0;883.75;708.93;667.98;
36;0.936916;8e+08;1.434e+19;0;0;0;0;0;0;884.36;709.01;667.98;
37;0.936911;8e+08;1.434e+19;0;0;0;0;0;0;884.91;709.08;667.98;
38;0.936906;8e+08;1.434e+19;0;0;0;0;0;0;885.38;709.14;667.98;
39;0.936901;8e+08;1.434e+19;0;0;0;0;0;0;885.79;709.19;667.98;
40;0.936898;8e+08;1.434e+19;0;0;0;0;0;0;886.16;709.24;667.98;
41;0.936894;8e+08;1.4341e+19;0;0;0;0;0;0;886.48;709.28;667.98;
42;0.936891;8e+08;1.4341e+19;0;0;0;0;0;0;886.75;709.32;667.98;
43;0.936889;8e+08;1.4341e+19;0;0;0;0;0;0;887;709.35;667.98;
44;0.936887;8e+08;1.4341e+19;0;0;0;0;0;0;887.21;709.38;667.98;
45;0.936885;8e+08;1.4341e+19;0;0;0;0;0;0;887.4;709.41;667.98;
46;0.936883;8e+08;1.4341e+19;0;0;0;0;0;0;887.56;709.43;667.98;
47;0.936882;8e+08;1.4341e+19;0;0;0;0;0;0;887.71;709.45;667.98;
48;0.936881;8e+08;1.4341e+19;0;0;0;0;0;0;887.83;709.46;667.98;
49;0.936879;8e+08;1.4341e+19;0;0;0;0;0;0;887.94;709.48;667.98;
50;0.936878;8e+08;1.4341e+19;0;0;0;0;0;0;888.04;709.49;667.98;
51;0.936877;8e+08;1.4341e+19;0;0;0;0;0;0;888.13;709.5;667.98;
52;0.936878;8e+08;1.4341e+19;0;0;0;0;0;0;888.2;709.51;667.98;
53;0.936876;8e+08;1.4341e+19;0;0;0;0;0;0;888.27;709.52;667.98;
54;0.936876;8e+08;1.4341e+19;0;0;0;0;0;0;888.32;709.53;667.98;
55;0.936876;8e+08;1.4341e+19;0;0;0;0;0;0;888.37;709.54;667.98;
56;0.936875;8e+08;1.4341e+19;0;0;0;0;0;0;888.42;709.54;667.98;
57;0.936875;8e+08;1.4341e+19;0;0;0;0;0;0;888.46;709.55;667.98;
58;0.936875;8e+08;1.4341e+19;0;0;0;0;0;0;888.49;709.55;667.98;
59;0.936874;8e+08;1.4341e+19;0;0;0;0;0;0;888.52;709.56;667.98;
60;0.936874;8e+08;1.4342e+19;0;0;0;0;0;0;888.54;709.56;667.98;
