# Region type : patch inletCentralUnloaded
# Faces       : 2
# Area        : 3.176444e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
79            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
80            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
81            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
82            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
83            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
84            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872316e-03	-5.401345e-04
85            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
86            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
87            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
88            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
89            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
90            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
91            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
92            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
93            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
94            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
95            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
96            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
97            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
98            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872316e-03	-5.401345e-04
99            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
100           	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
